match_number,turns,winner,health_Ministral_3B,health_Mistral_Small,result
1,10,Mistral Small,66,78,Mistral Small
2,10,Ministral 3B,45,25,Ministral 3B
3,10,Ministral 3B,62,43,Ministral 3B
4,10,Ministral 3B,58,55,Ministral 3B
5,10,Ministral 3B,100,94,Ministral 3B
6,10,Ministral 3B,76,62,Ministral 3B
7,10,Ministral 3B,70,26,Ministral 3B
8,10,Mistral Small,35,49,Mistral Small
9,10,Ministral 3B,92,53,Ministral 3B
10,10,Mistral Small,73,77,Mistral Small
11,10,Mistral Small,28,84,Mistral Small
12,10,Mistral Small,76,85,Mistral Small
13,10,Mistral Small,81,85,Mistral Small
14,10,Mistral Small,64,90,Mistral Small
15,10,Mistral Small,38,67,Mistral Small
16,10,Mistral Small,22,70,Mistral Small
17,10,Ministral 3B,100,38,Ministral 3B
18,10,Ministral 3B,100,69,Ministral 3B
19,10,Mistral Small,25,88,Mistral Small
20,10,Ministral 3B,100,67,Ministral 3B
