match_number,turns,winner,health_Ministral_3B,health_Mistral_Small,result
1,10,Mistral Small,76,100,Mistral Small
2,10,Mistral Small,1,35,Mistral Small
3,10,Ministral 3B,68,66,Ministral 3B
4,10,draw,71,71,draw
5,10,Mistral Small,80,100,Mistral Small
6,10,Mistral Small,59,100,Mistral Small
7,10,Mistral Small,73,100,Mistral Small
8,10,Mistral Small,52,76,Mistral Small
9,10,Mistral Small,16,100,Mistral Small
10,10,Ministral 3B,94,37,Ministral 3B
11,10,Mistral Small,17,70,Mistral Small
12,10,Mistral Small,11,100,Mistral Small
13,10,Ministral 3B,100,80,Ministral 3B
14,10,Mistral Small,84,100,Mistral Small
15,10,Mistral Small,7,69,Mistral Small
16,10,Mistral Small,22,66,Mistral Small
17,10,Mistral Small,77,100,Mistral Small
18,10,Mistral Small,66,78,Mistral Small
19,10,Mistral Small,33,100,Mistral Small
20,10,Ministral 3B,100,67,Ministral 3B
